id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,street,coordinates_available
ae7b3174-8be8-4d53-a3a5-9b8240970eea,'s,brewpub,Friesener Straße 1,Not Available,Not Available,Kronach,Bayern,96317,Germany,11.327765,50.241246,+49 9261 628000,http://www.antla.de,Bayern,Friesener Straße 1,True
aa7cbe9b-3a0f-4888-9884-6186b0042b55,’t Drankorgel,micro,31a Geelsebaan,Not Available,Not Available,Mol,Vlaanderen,2400,Belgium,5.0569549,51.1762578,+32 496 76 40 63,http://tdrankorgel.be/,Vlaanderen,31a Geelsebaan,True
1034754f-abf9-4b42-bd6d-37e110ba4b1a,'T Kroontje,micro,62 Hogebrug,Not Available,Not Available,Lebbeke,Vlaanderen,9280,Belgium,4.0913928,51.0078878,+32 495 43 33 25,http://www.tkroontje.be/,Vlaanderen,62 Hogebrug,True
5128df48-79fc-4f0f-8b52-d06be54d0cec,(405) Brewing Co,micro,1716 Topeka St,Not Available,Not Available,Norman,Oklahoma,73069-8224,United States,-97.46818222,35.25738891,4058160490,http://www.405brewing.com,Oklahoma,1716 Topeka St,True
9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) Brewing Co,micro,407 Radam Ln Ste F200,Not Available,Not Available,Austin,Texas,78745-1197,United States,0.0,0.0,5129211545,http://www.512brewing.com,Texas,407 Radam Ln Ste F200,False
34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of Us Brewing Company,micro,8100 Washington Ave,Not Available,Not Available,Mount Pleasant,Wisconsin,53406-3920,United States,-87.883363502094,42.720108268996,2624847553,https://www.1ofusbrewing.com,Wisconsin,8100 Washington Ave,True
21f21cc0-5b2f-4b79-be29-3bc625bcc4c8,1. Altenberger Brauhaus,brewpub,Zirndorfer Straße 18,Not Available,Not Available,Oberasbach,Bayern,90522,Germany,10.9685585,49.4369958,+49 911 604237,http://www.altenberger-brauhaus.de,Bayern,Zirndorfer Straße 18,True
6d14b220-8926-4521-8d19-b98a2d6ec3db,10 Barrel Brewing Co,large,62970 18th St,Not Available,Not Available,Bend,Oregon,97701-9847,United States,-121.281706,44.08683531,5415851007,http://www.10barrel.com,Oregon,62970 18th St,True
e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Not Available,Not Available,Bend,Oregon,97703-2465,United States,-121.3288021,44.0575649,5415851007,Not Available,Oregon,1135 NW Galveston Ave Ste B,True
e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 Barrel Brewing Co,large,1411 NW Flanders St,Not Available,Not Available,Portland,Oregon,97209-2620,United States,-122.6855056,45.5259786,5032241700,http://www.10barrel.com,Oregon,1411 NW Flanders St,True
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,large,1501 E St,Not Available,Not Available,San Diego,California,92101-6618,United States,-117.129593,32.714813,6195782311,http://10barrel.com,California,1501 E St,True
9f1852da-c312-42da-9a31-097bac81c4c0,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Not Available,Not Available,Bend,Oregon,97701,United States,-121.2809536,44.0912109,5415851007,Not Available,Oregon,62950 NE 18th St,True
ea4f30c0-bce6-416b-8904-fab4055a7362,10 Barrel Brewing Co - Boise,large,826 W Bannock St,Not Available,Not Available,Boise,Idaho,83702-5857,United States,-116.202929,43.618516,2083445870,http://www.10barrel.com,Idaho,826 W Bannock St,True
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,large,2620 Walnut St,Not Available,Not Available,Denver,Colorado,80205-2231,United States,-104.9853655,39.7592508,7205738992,Not Available,Colorado,2620 Walnut St,True
1ecc330f-6275-42a5-b14e-00adbed62752,10 Torr Distilling and Brewing,micro,490 Mill St,Not Available,Not Available,Reno,Nevada,89502,United States,-119.7732015,39.5171702,7755307014,http://www.10torr.com,Nevada,490 Mill St,True
7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 Brewing Company,micro,400 Brown Cir,Not Available,Not Available,Knox,Indiana,46534,United States,-86.627954,41.289715,6308165790,Not Available,Indiana,400 Brown Cir,True
49eaa1ab-5cee-40cd-a0dc-da14ba2b7dac,1000 Hills Brewing Company,brewpub,168 Old Main Road,Botha's Hill,Not Available,Durban,KwaZulu-Natal,3610,South Africa,30.7063,-29.7711,+27 31 777 1566,https://1000hillsbrewingcompany.co.za/,KwaZulu-Natal,168 Old Main Road,True
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,closed,1304 Scott St Ste D,Not Available,Not Available,Petaluma,California,94954-7100,United States,-122.665055,38.27029381,7077534934,http://www.101northbeer.com,California,1304 Scott St Ste D,True
4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 West Brewing Co,micro,1043 Park St,Not Available,Not Available,Castle Rock,Colorado,80109-1585,United States,-104.8667206,39.38269495,3033257321,http://www.105westbrewing.com,Colorado,1043 Park St,True
42aa37d5-8384-4ffe-8c81-7c982eff0384,10K Brewing,micro,2005 2nd Ave,Not Available,Not Available,Anoka,Minnesota,55303-2243,United States,-93.38952559,45.19812039,7633924753,http://10KBrew.com,Minnesota,2005 2nd Ave,True
232e8f62-9afc-45f5-b4bc-582c26b5c43b,10th District Brewing Company,micro,491 Washington St,Not Available,Not Available,Abington,Massachusetts,02351-2419,United States,-70.94594149,42.10591754,7813071554,http://www.10thdistrictbrewing.com,Massachusetts,491 Washington St,True
08f78223-24f8-4b71-b381-ea19a5bd82df,11 Below Brewing Company,micro,6820 Bourgeois Rd,Not Available,Not Available,Houston,Texas,77066-3107,United States,-95.5186591,29.9515464,2814442337,http://www.11belowbrewing.com,Texas,6820 Bourgeois Rd,True
58293321-14ae-49d7-9a7b-08436c9e63a6,1188 Brewing Co,brewpub,141 E Main St,Not Available,Not Available,John Day,Oregon,97845-1210,United States,-118.9218754,44.4146563,5415751188,http://www.1188brewing.com,Oregon,141 E Main St,True
e5f3e72a-fee2-4813-82cf-f2e53b439ae6,12 Acres Brewing Company,micro,Unnamed Street,Clonmore,Not Available,Killeshin,Laois,R93 X3X8,Ireland,-6.979343891,52.84930763,353599107299,https://12acresbrewing.ie/,Laois,Unnamed Street,True
d81ff708-b5d2-478f-af6a-6d40f5beb9ac,12 Gates Brewing Company,brewpub,80 Earhart Dr Ste 20,Not Available,Not Available,Williamsville,New York,14221-7804,United States,0.0,0.0,7169066600,http://www.12gatesbrewing.com,New York,80 Earhart Dr Ste 20,False
f4284868-386f-46c2-adda-0436d6a9e3bd,12 Marias,micro,EN109 74,Fermelã,Not Available,Estarreja,Aveiro,3865-127,Portugal,0.0,0.0,Not Available,https://12marias.pt/,Aveiro,EN109 74,False
fb94830f-6196-4f59-9189-c9060b778085,12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,Not Available,Not Available,Gilbert,Arizona,85296-7832,United States,0.0,0.0,6023395014,http://www.12westbrewing.com,Arizona,3000 E Ray Rd Bldg 6,False
0faa0fb2-fffa-416d-9eab-46f67477c8ef,12 West Brewing Company - Production Facility,micro,Not Available,Not Available,Not Available,Mesa,Arizona,85207,United States,-111.5860662,33.436188,Not Available,Not Available,Arizona,,True
e54c2f02-acd6-4172-861d-fcfa54c8701a,122 West Brewing Co,closed,2416 Meridian St,Not Available,Not Available,Bellingham,Washington,98225-2405,United States,-122.485982,48.7621709,3603063285,https://www.122westbrew.com/,Washington,2416 Meridian St,True
d5cb896d-3e99-4e19-9693-5e06ce987e53,127 Brewing,micro,3090 Shirley Dr,Not Available,Not Available,Jackson,Michigan,49201-7010,United States,-84.43116792,42.28667212,5172581346,Not Available,Michigan,3090 Shirley Dr,True
06e9fffb-e820-45c9-b107-b52b51013e8f,12Degree Brewing,brewpub,820 Main St,Not Available,Not Available,Louisville,Colorado,80027-1865,United States,-105.1319826,39.9782443,3035791004,http://www.12degree.com,Colorado,820 Main St,True
50521ef7-f543-4c5d-98b1-0d0ee1a2be01,12welve Eyes Brewing,micro,141 E 4th St Ste LL2,Not Available,Not Available,Saint Paul,Minnesota,55101-1639,United States,0.0,0.0,6514938106,http://www.12welveEyes.com,Minnesota,141 E 4th St Ste LL2,False
950180bd-29c9-46b3-ad0c-e6f09799ec7f,13 Below Brewery,micro,7391 Forbes Rd,Not Available,Not Available,Cincinnati,Ohio,45233-1013,United States,-84.70634815,39.12639764,5139750613,http://www.13belowbrewery.com,Ohio,7391 Forbes Rd,True
45119c56-345b-4adc-b481-c5cf7bfe98c4,13 Stripes Brewery,brewpub,"250 Mill St, Suite PW3101",Not Available,Not Available,Taylors,South Carolina,29687,United States,0.0,0.0,8643491430,http://www.13StripesBrewery.com,South Carolina,"250 Mill St, Suite PW3101",False
936c3d7e-5d54-4459-b72c-117cdda059b4,13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,Not Available,Not Available,Portland,Oregon,97202-5518,United States,-122.6487531,45.4762536,5032393831,http://www.13virtuesbrewing.com,Oregon,6410 SE Milwaukie Ave,True
5c53b314-ebab-4e3e-89be-e4139d9318ae,1323 R & D,micro,1323 Capital Blvd 1323 R and D,Not Available,Not Available,Raleigh,North Carolina,27603-1117,United States,0.0,0.0,9199775654,http://www.1323rnd.com,North Carolina,1323 Capital Blvd 1323 R and D,False
19ff5276-c1b2-423a-b6ac-ae47f97efc96,137:ans,micro,Oxbacksgatan 6,Not Available,Not Available,Södertälje,Stockholm County,15173,Sweden,0.0,0.0,Not Available,https://www.137ansbar.com/,Stockholm County,Oxbacksgatan 6,False
4788221a-a03b-458c-9084-4cadd69ade6d,14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,Not Available,Not Available,Westlake Village,California,91362-3974,United States,-118.802397,34.15334,8186996165,http://14cannons.com,California,31125 Via Colinas Ste 907,True
b7b68d22-5045-4501-b9bf-ec94946eaffc,14 Lakes Brewery,micro,Not Available,Not Available,Not Available,Crosslake,Minnesota,56442,United States,0.0,0.0,2186924129,Not Available,Minnesota,,False
4b677b60-fef1-42e2-90ef-dadc1bd7fb06,14er Brewing Company,proprietor,2801 Walnut St,Not Available,Not Available,Denver,Colorado,80205-2235,United States,-104.9839636,39.7614112,7207731437,http://www.14erBrewing.com,Colorado,2801 Walnut St,True
6c53984f-fac1-4ea7-9c44-44e25897c71a,14th Star Brewing,micro,133 N Main St Ste 7,Not Available,Not Available,Saint Albans,Vermont,05478-1735,United States,0.0,0.0,8025285988,http://www.14thstarbrewing.com,Vermont,133 N Main St Ste 7,False
c1dc2b15-1ad0-4af4-840b-13a5c204f19a,1516 Westparkbräu,brewpub,Am Westpark 6,Not Available,Not Available,Ingolstadt,Bayern,85057,Germany,11.3903278,48.7752587,+49 841 9568777,http://www.westparkbraeu.com,Bayern,Am Westpark 6,True
85192a9c-58a4-48c3-bd9d-496d09d22aa3,16 Lots Brewing,brewpub,753 Reading Rd,Not Available,Not Available,Mason,Ohio,45040-1303,United States,-84.3183801,39.3545967,5134863672,http://www.16lots.com,Ohio,753 Reading Rd,True
284b44f8-6ccb-4cd6-8d06-f2ad882a47c3,16 Mile Brewing Co,micro,413 S Bedford St,Not Available,Not Available,Georgetown,Delaware,19947-1849,United States,-75.37816436,38.6788938,3022538816,http://www.16milebrewery.com,Delaware,413 S Bedford St,True
ee6d39c6-092f-4623-8099-5b8643f70dbe,16 Stone Brewpub,brewpub,9542 Main St,Not Available,Not Available,Holland Patent,New York,13354,United States,-75.2565195,43.24211175,3158658500,http://www.16stonebrewpub.com,New York,9542 Main St,True
